sentence1,sentence2,gold_label_log,gold_label_prag,spec_relation,item_type,trigger,lexemes,Reasoning_gold_label_Prag
Two hospitals did tempt Regina to smile.,Three hospitals did tempt Regina to smile.,neutral,contradiction,negated implicature_P,target,numeral_two-three,two - three,"Sentence 2 contradicts Sentence 1 because it asserts a different number of hospitals involved in tempting Regina to smile, which directly conflicts with the claim made in Sentence 1."
Three hospitals did tempt Regina to smile.,Two hospitals did tempt Regina to smile.,entailment,contradiction,reverse negated implicature_P,target,numeral_two-three,two - three,"Sentence 2 contradicts Sentence 1 because it presents a different number of hospitals involved in tempting Regina to smile, thereby altering the factual claim made in Sentence 1."
Three hospitals did tempt Regina to smile.,Two hospitals won't tempt Regina to smile.,contradiction,contradiction,opposite,control,numeral_two-three,two - three,"Sentence 2 contradicts Sentence 1 because if three hospitals did tempt Regina to smile, it is impossible for two hospitals to not tempt her at all."
Two hospitals won't tempt Regina to smile.,Three hospitals did tempt Regina to smile.,contradiction,contradiction,opposite,control,numeral_two-three,two - three,"Sentence 2 contradicts Sentence 1 because it asserts that Regina was tempted to smile by three hospitals, directly opposing the claim that two hospitals would not tempt her to smile."
Two hospitals did tempt Regina to smile.,Two hospitals won't tempt Regina to smile.,contradiction,contradiction,negation,control,numeral_two-three,two - three,"Sentence 2 directly contradicts Sentence 1 by asserting that the hospitals will not have the effect of tempting Regina to smile, which opposes the claim that they did tempt her."
Two hospitals won't tempt Regina to smile.,Two hospitals did tempt Regina to smile.,contradiction,contradiction,negation,control,numeral_two-three,two - three,"Sentence 2 directly contradicts Sentence 1 by asserting that the hospitals did indeed succeed in making Regina smile, which opposes the claim that they would not."
Three hospitals did tempt Regina to smile.,Three hospitals won't tempt Regina to smile.,contradiction,contradiction,negation,control,numeral_two-three,two - three,"Sentence 2 directly contradicts Sentence 1 by asserting that the hospitals will not have the effect of tempting Regina to smile, which opposes the claim that they did tempt her to smile."
Three hospitals won't tempt Regina to smile.,Three hospitals did tempt Regina to smile.,contradiction,contradiction,negation,control,numeral_two-three,two - three,"Sentence 2 directly contradicts Sentence 1 by asserting that the same three hospitals, which are claimed not to have the power to make Regina smile, actually succeeded in doing so."
Russell has researched two documentaries.,Russell hasn't researched three documentaries.,neutral,entailment,implicature_PtoN,target,numeral_two-three,two - three,"If Russell has researched two documentaries, it logically follows that he has not researched three documentaries."
Russell has researched two documentaries.,Russell has researched three documentaries.,neutral,contradiction,negated implicature_P,target,numeral_two-three,two - three,"Sentence 2 contradicts Sentence 1 because it asserts a different quantity of documentaries researched by Russell, specifically stating three instead of the two mentioned in Sentence 1."
Russell has researched three documentaries.,Russell has researched two documentaries.,entailment,contradiction,reverse negated implicature_P,target,numeral_two-three,two - three,"Sentence 2 contradicts Sentence 1 because it states a lower quantity of documentaries researched by Russell, which directly conflicts with the assertion of three documentaries in Sentence 1."
Russell has researched three documentaries.,Russell hasn't researched two documentaries.,contradiction,contradiction,opposite,control,numeral_two-three,two - three,"Sentence 2 contradicts Sentence 1 because if Russell has researched three documentaries, it is impossible for him to not have researched two of them."
Russell hasn't researched two documentaries.,Russell has researched three documentaries.,contradiction,contradiction,opposite,control,numeral_two-three,two - three,"Sentence 2 contradicts Sentence 1 because if Russell hasn't researched two documentaries, he cannot have researched three."
Russell has researched two documentaries.,Russell hasn't researched two documentaries.,contradiction,contradiction,negation,control,numeral_two-three,two - three,"Sentence 2 directly negates the assertion made in Sentence 1 by stating that Russell has not engaged in the research of two documentaries, which contradicts the claim that he has."
Russell hasn't researched two documentaries.,Russell has researched two documentaries.,contradiction,contradiction,negation,control,numeral_two-three,two - three,Sentence 2 directly contradicts Sentence 1 by asserting the opposite claim regarding Russell's research on documentaries.
Russell has researched three documentaries.,Russell hasn't researched three documentaries.,contradiction,contradiction,negation,control,numeral_two-three,two - three,"Sentence 2 directly negates the assertion made in Sentence 1 by stating that Russell has not engaged in the research of three documentaries, which contradicts the claim that he has."
Russell hasn't researched three documentaries.,Russell has researched three documentaries.,contradiction,contradiction,negation,control,numeral_two-three,two - three,Sentence 2 directly contradicts Sentence 1 by asserting the opposite claim regarding Russell's research on three documentaries.
That bread resembles two paintings.,That bread doesn't resemble three paintings.,neutral,entailment,implicature_PtoN,target,numeral_two-three,two - three,"If the bread resembles two paintings, it logically follows that it cannot resemble three paintings, thus supporting the entailment."
That bread resembles two paintings.,That bread resembles three paintings.,neutral,contradiction,negated implicature_P,target,numeral_two-three,two - three,"Sentence 2 contradicts Sentence 1 because it asserts a different quantity of paintings that the bread resembles, which directly conflicts with the specific claim made in Sentence 1."
That bread resembles two paintings.,That bread resembles three paintings.,neutral,contradiction,negated implicature_P,target,numeral_two-three,two - three,"Sentence 2 contradicts Sentence 1 because if the bread resembles two paintings, it cannot simultaneously resemble three paintings, as this would exceed the quantity stated in Sentence 1."
That bread resembles three paintings.,That bread resembles two paintings.,entailment,contradiction,reverse negated implicature_P,target,numeral_two-three,two - three,"Sentence 2 contradicts Sentence 1 because if the bread resembles three paintings, it cannot simultaneously resemble only two."
That bread resembles three paintings.,That bread doesn't resemble two paintings.,contradiction,contradiction,opposite,control,numeral_two-three,two - three,"Sentence 2 contradicts Sentence 1 because if the bread resembles three paintings, it cannot simultaneously not resemble two paintings, as that implies a limitation on the number of paintings it resembles."
That bread doesn't resemble two paintings.,That bread resembles three paintings.,contradiction,contradiction,opposite,control,numeral_two-three,two - three,"Sentence 2 contradicts Sentence 1 because it asserts that the bread resembles paintings, while Sentence 1 explicitly states that it does not resemble any paintings."
That bread resembles two paintings.,That bread doesn't resemble two paintings.,contradiction,contradiction,negation,control,numeral_two-three,two - three,"Sentence 2 directly negates the assertion made in Sentence 1 by stating that the bread does not resemble the two paintings, thereby contradicting the claim of resemblance."
That bread doesn't resemble two paintings.,That bread resembles two paintings.,contradiction,contradiction,negation,control,numeral_two-three,two - three,"Sentence 2 directly contradicts Sentence 1 by asserting that the bread does resemble the paintings, which opposes the claim that it does not."
